epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4919.28,0.567,0.37332,1.00987,0.9678,0.96159,0.98235,0.76951,0.88801,0.35849,1.2767,4.79978e-05,4.79978e-05,4.79978e-05
88,4974.52,0.55701,0.35905,1.0091,0.97536,0.96368,0.98409,0.77064,0.88962,0.34529,1.28588,4.48001e-05,4.48001e-05,4.48001e-05
89,5029.92,0.57064,0.37939,1.02446,0.96769,0.97122,0.98224,0.77246,0.88494,0.34792,1.27025,4.16024e-05,4.16024e-05,4.16024e-05
90,5084.22,0.5739,0.37343,1.02239,0.95821,0.9765,0.98053,0.76716,0.8889,0.34182,1.2768,3.84047e-05,3.84047e-05,3.84047e-05
91,5142.4,0.49024,0.24799,0.96572,0.95502,0.96233,0.97772,0.75775,0.90459,0.3826,1.32515,3.5207e-05,3.5207e-05,3.5207e-05
92,5198.15,0.45702,0.22539,0.939,0.97737,0.96402,0.98159,0.76837,0.89809,0.36215,1.3037,3.20093e-05,3.20093e-05,3.20093e-05
93,5254.07,0.4369,0.224,0.92994,0.97511,0.96696,0.98289,0.76645,0.89281,0.35683,1.29172,2.88116e-05,2.88116e-05,2.88116e-05
94,5310.34,0.43303,0.22609,0.92732,0.97605,0.96591,0.98416,0.76932,0.88731,0.34514,1.28833,2.56139e-05,2.56139e-05,2.56139e-05
95,5365.89,0.42139,0.21285,0.92556,0.97554,0.96551,0.98243,0.77372,0.88375,0.34683,1.27784,2.24162e-05,2.24162e-05,2.24162e-05
96,5421.23,0.41851,0.20874,0.92814,0.97671,0.96762,0.98266,0.77076,0.88852,0.35209,1.28379,1.92185e-05,1.92185e-05,1.92185e-05
97,5475.95,0.41909,0.2719,0.93167,0.97304,0.96725,0.98387,0.77505,0.88244,0.346,1.28887,1.60208e-05,1.60208e-05,1.60208e-05
98,5530.55,0.40118,0.20246,0.92199,0.9678,0.96619,0.98422,0.77166,0.88817,0.34711,1.28642,1.28231e-05,1.28231e-05,1.28231e-05
99,5585.82,0.39181,0.20295,0.90735,0.97022,0.9653,0.98429,0.76998,0.88314,0.34606,1.28377,9.6254e-06,9.6254e-06,9.6254e-06
100,5641.11,0.41066,0.23127,0.92142,0.97031,0.96524,0.98497,0.77483,0.88083,0.34827,1.28172,6.4277e-06,6.4277e-06,6.4277e-06
